stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord
16hpf,0,10.06,0,0,0
19hpf,0,8.41,0,0,0
2dpf,0,0,0.79,0,1.12
3dpf,0.71,0,0.43,0,0
5dpf,0,0,0.93,0.71,0
10dpf,0,0.48,0,0,0
