stage,central_nervous_system,mesenchyme,notochord,paraxial_mesoderm
2dpf,0.72,0.72,0,0.93
3dpf,4.53,1.06,0,0
5dpf,0,1.16,0.88,0
10dpf,1.08,0,0,0
