stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0,1.62,2.03,0,0,0,0.58,0
3dpf,0,0.58,0,0.84,0.31,0,0,0
5dpf,0.89,0,1.62,0.62,7.05,1.37,2.27,0.89
10dpf,3.91,0,0,0,3.22,0,5.91,0
