stage,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0,1.13,0,2.66
3dpf,0,0.59,0,0.35,0.93
5dpf,0,3,0,0,5.43
10dpf,0.45,0.9,0,0,0
