stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,927.2,0,0,0,127.19,8.39,0,0,401.34,238.87
12hpf,2354.19,31.29,31.87,80.46,388.75,76.03,1.77,52.45,1194.03,460.14
14hpf,660.46,5.74,93.24,22.81,129.67,92.24,17.21,7.58,296.68,111.18
16hpf,842.37,35.99,134.08,40.93,283.86,155.72,34.78,26.77,449.65,187.94
19hpf,623.57,6.23,21.02,1.62,91.73,47.25,13.91,8.82,111.77,52.28
24hpf,658.97,15.95,39.76,10.97,137.21,70.39,38.18,0,187.38,53.22
2dpf,478.97,16.81,24.96,63.34,130.63,269.41,62.44,3.38,153.48,125.17
3dpf,659.28,21.32,16.41,19.23,20.5,239.98,14.45,0,32.83,53.76
5dpf,262.29,28.01,87.87,90.87,55.16,915.17,55.81,46.41,198.97,476.82
10dpf,797.45,73.95,75.86,105.89,56.62,1348.15,53.99,2.08,224.46,134
