stage,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,1.16,0,0,0
3dpf,0,0.38,0,0.62
5dpf,2.49,0.56,0.62,0
10dpf,0,1.21,0,0
