stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,80.26,10.43,0,30.79,0,0,12.09,132.04,9.98
12hpf,166.91,5.11,3.81,17.48,0,0,30.62,135.96,4.62
14hpf,57.06,0,0,5.27,0,2.4,11.04,102.92,99.98
16hpf,17.16,1.65,2.98,4.03,0,14.38,0,81.87,35.29
19hpf,7.79,0,0,0,0,0,1.6,15.94,3.6
24hpf,3.74,0,0,2.04,0.82,0,0,11.7,0
2dpf,8.75,0,2.63,37.42,68.31,1.61,0.51,22.05,1.74
3dpf,0.29,0,2.56,0.96,27.9,0,0,1.37,0.6
5dpf,1.99,0,1.56,5.04,45.36,0,0,5.4,4.58
10dpf,0,0,0.47,0,14.79,0,0,0.37,0.62
