stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
2dpf,0.57,0,11.7,0,14.83,0
3dpf,1.17,0,7.52,0,11.24,0
5dpf,0,0,7.8,0.58,12.32,0
10dpf,0,1.07,8.48,0,13.34,0.52
