stage,central_nervous_system,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,0,2.46,0,0,0,0
3dpf,0.66,0,0,0,0,0.77
5dpf,0.65,0.56,0,0.74,0.41,2.03
10dpf,2.24,0,1.23,0,0,1.14
