stage,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,1.69,0.5,0,1.2,0,0
5dpf,0,0.32,1.58,0,0.68,0.45
10dpf,0,0,1.02,0,0,0
