stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,1003.53,0,0,0,0,0,0,26.81,0
12hpf,1237.21,14.06,0,0,3.02,0,64.68,50.65,3.74
14hpf,407.99,10.37,0,0,3.29,0,32.89,54.8,148.94
16hpf,89.15,8.91,0,0,0,0,16.69,22.08,60.89
19hpf,109.64,0,0,1.7,0,0,9.86,7.29,0
24hpf,28.78,0,0,0,0,0,0.89,3.05,1
2dpf,9.02,0,0,1.27,0,1.22,0,0,0.69
3dpf,20.85,0,0.36,0,0,1.21,0,0.98,0
5dpf,3.93,0.77,0.4,0,0,0.68,0,0.36,1.23
10dpf,3.94,0,0,0,0,0,0,0,1.09
