stage,central_nervous_system,endoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0,0,0,0,0.63,1.62
3dpf,3.15,0,0.67,0,0,0
5dpf,1.09,0,1.13,1.53,0,0
10dpf,7.02,0.63,0,1.77,0,0
