stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,paraxial_mesoderm,periderm
2dpf,1.75,1.15,0.51,0,0.48
3dpf,0,0.36,0,0,0
5dpf,0,0,0,0.31,0
10dpf,0,0.46,0,0,0
