stage,central_nervous_system,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,0,0.59,3.83,0,0
3dpf,1.3,0,1.89,0,0
5dpf,0.65,0,2.97,0.71,0.76
10dpf,1.77,0,2.13,0,0.94
