stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,0,29.99,0,455.64,0,0,0,916.66
12hpf,26.36,24.65,125.77,761.13,79.81,4.6,15.23,1890.55
14hpf,2.49,3.03,105.99,307.79,131.69,0,21.39,1482.49
16hpf,18.48,3.71,2.97,359.45,79.88,0,10.5,1079.49
19hpf,5.65,2.65,0,216.64,30.97,0,1.68,592.1
24hpf,5.67,0.86,0,109.98,25.88,0,2.68,137.11
2dpf,2.38,0,0,2.11,5.64,0,2.54,24.31
3dpf,2.06,0.71,0,3.34,5.12,0,0.45,13.86
5dpf,1.77,0,0,0.62,6.72,0,0,35.52
10dpf,1.46,0,0,0.8,2.72,0,0,7.64
