stage,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0.52,0.52,0,1.84
3dpf,0.73,0,0,0
5dpf,0.91,0,0.91,0.34
10dpf,0.56,0,1.59,0.82
