stage,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0,0.49,0,0,0,0.75
5dpf,0.57,0,1.82,0,0.31,0
10dpf,0,0,0,0.51,0,0
