stage,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
2dpf,0,0.9,1.51,0
3dpf,0,0,0,0.33
5dpf,0.44,0,0,0.89
10dpf,1.44,0,0,0
