stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,0,1.09,0,0,0,0,0
3dpf,62.85,0,0,0,0.39,0,0.72
5dpf,1.06,0.31,0.6,1.49,7.12,0.35,1.79
10dpf,82.23,0.81,0,0,1.54,0,0
