stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,232.83,0,0,0,0,0,0,0,0
12hpf,127.38,0,0,0,0,0,0,0,0
14hpf,426.86,0,0,0,0,0,0,0,8.52
16hpf,314.52,0,0,1.63,0,0,0,6.06,7.6
19hpf,580.97,0,0,0,0,0,0,0,2.1
24hpf,460.58,0,1.24,0,1.7,0,0,5.11,4.8
2dpf,166.74,0.82,1.96,0.79,5.67,20.33,5.21,3.38,8.76
3dpf,529.64,0,2.26,0,0,5.59,0,0.29,0.29
5dpf,70.08,1.99,2.08,4.85,0.32,26.75,4.87,5.27,12.44
10dpf,368.48,2.22,0.49,0.83,0,5.23,7.9,2.45,2.02
