stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,3.64,0.82,0.94,6.81,0.59,1.19
3dpf,18.74,0,0.38,1.23,0,0
5dpf,0.31,0,0,2.53,0,0
10dpf,13.61,0.49,0,0,0,0
