stage,central_nervous_system,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm
2dpf,0,0,0.66,1.6,1.58
3dpf,0.58,0,0,0,0
5dpf,0,0.74,0,0.3,0
10dpf,1.8,0,0,0,0
