stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
24hpf,1.17,0,0,2.17,0,0
2dpf,14.37,0,0,8.07,1.83,2.05
3dpf,73.22,0.39,0.6,3.18,0,0
5dpf,1.61,0.36,0.67,2.06,0,0
10dpf,18.45,0,0,4.28,0,0
