stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,20.4,0,0,0,0,0,0,12.19,38.13,79.07
12hpf,5.95,0,0,0,0,0,0,6.41,1.82,1.97
14hpf,0,0,0,0,0,0,0,0,0,78.39
16hpf,3.74,0,1.75,0,0,0,0,0,0,12.11
19hpf,6.86,0,0,2.09,0,0,0,0,0,213.07
24hpf,27.61,0.87,46.62,10.65,8.43,0.98,15.12,0,4.57,20.92
2dpf,599.81,84.32,121.14,121.99,187.11,252.38,376.19,3.83,108.49,346.3
3dpf,742.25,332.76,25.38,80.79,32.2,214.11,12.34,0,17.43,64.67
5dpf,250.79,328.96,111.78,221.54,37.86,484.52,51.01,13.21,77.56,326.01
10dpf,494.2,667,40.11,320.78,15.69,191.69,53.44,0,34.13,43.99
