stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,neural_crest,periderm
2dpf,0,0,37.01,0,0.89,1.81
3dpf,0.99,0,10.28,0.72,0,0
5dpf,0,0,30.32,0,0,0.6
10dpf,0,0.89,12.98,0,0,0
