stage,central_nervous_system,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,0,1.39,0,81.85,0.65
3dpf,4.18,0.34,0.76,1.04,0
5dpf,0,0,0.93,66.74,0
10dpf,2.52,0,0.61,0.67,0.59
