stage,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0,0.64,0,0,0.71,0
3dpf,0,0,0.46,0,0,0
5dpf,0.29,0.57,0,0,0,0.78
10dpf,0,0,7.73,2.67,0,0
