stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,174.25,0,0,0,111.91,0,0,0,154.79,104.89
12hpf,204.77,16.79,0,11.69,84.83,11.25,0,10.47,140.94,81.48
14hpf,154.57,0,0,23.79,25.21,2.93,0,9.01,24.64,8.95
16hpf,49.52,1.77,3.97,7.63,30.22,5.02,1.8,11.56,41.22,26.54
19hpf,174.56,3.75,0,3.83,8.6,0,1.67,0,7.2,17.55
24hpf,123.39,0,5.15,7.22,70.01,5.56,2.23,0.89,12.82,16.19
2dpf,152.86,3.8,3.42,7.75,114.56,13,6.01,0,7.63,22.66
3dpf,197.41,4.34,2.67,7.82,6.18,13.86,0,0,2.18,7.42
5dpf,20.21,0.97,9.18,6.3,16.05,12.95,0.63,0.29,3.78,9.47
10dpf,15.73,0,5.54,1.22,0,0.48,0,0,1.03,0.49
