stage,central_nervous_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,0,0,0,1.72
3dpf,0.76,0,0.75,0.35
5dpf,4.05,0,0,4.65
10dpf,8.98,0.75,1.48,28.37
