stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,11.79,0,0,0,0,0,0,0
12hpf,0,2.86,0,0,10.6,0,0,0,4.39
14hpf,2.37,0,0,0,21.54,0,0,0,62.58
16hpf,0,0,0,0,6.48,2.96,0,0,10.25
19hpf,3.14,0,0,0,55.75,0,1.74,0,32.31
24hpf,0.83,3.3,0,0,82.17,0,3.54,1.47,3.72
2dpf,22.82,0,0,0.49,4.88,5.28,2.42,2.42,2.16
3dpf,316.55,6.07,0.39,0,0.62,20.81,0.44,2.92,0.78
5dpf,17.74,0.99,1.79,1.58,0,31.96,1.49,5.77,5.65
10dpf,90.09,1.41,0,0,0,13.22,1.54,2.69,1.14
