stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm
2dpf,1.36,0,0,0.57,0.62,0.68,0.76,0
3dpf,2.3,0,0,0,0,15.97,0,0
5dpf,0.77,1.28,1.48,0,0,37.55,0,1.53
10dpf,4.12,0,0.62,0,0,9.09,0,0.94
