stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,neural_crest,paraxial_mesoderm
24hpf,0,0,95.5,0,0,0,1.37
2dpf,0.59,0,18.97,0,0.81,1.68,0
3dpf,3.49,0,0,0,0,0,0
5dpf,1.93,1.02,93.21,1.46,0,0,0
10dpf,4.75,1.56,58.17,0,0,0,0
