stage,central_nervous_system,endoderm,neural_crest,paraxial_mesoderm,periderm
16hpf,0,2.23,0,0,0
2dpf,0,0,1.92,0,0
3dpf,0.81,0,0,0.39,0
5dpf,0.32,0,0,0,0.36
10dpf,1.16,0,0,0.45,0
