stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,periderm
2dpf,1.47,0,0,3.41,0.8,2.14
3dpf,6.65,0,0,0,0,0
5dpf,0,0,0,0.59,0,0
10dpf,28.05,1.48,1.51,0,0,0
