stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
24hpf,1.08,0,0,0,0,0,0,0
2dpf,3.82,0,0,0,9.61,3.78,0,2.95
3dpf,138.79,0.39,0,0.6,15.57,0,0.3,0.75
5dpf,17.65,0,0,0.38,19.63,0.63,0.52,4.21
10dpf,116.75,0.58,0.48,1.14,4.24,0,1.31,1.65
