stage,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0.72,0,1.22,0,6.69
3dpf,0.39,0,2.1,3.42,0,0
5dpf,0.52,0,0,8.56,0.32,7.9
10dpf,0,0.48,0,3.08,1.47,0
