stage,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0.56,0,0,1.58
3dpf,0,0,0,1.19
5dpf,0,0.6,0.81,33.95
10dpf,0,1.5,0,9.22
