stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest
24hpf,0.92,0,0,0
2dpf,0,0,1.74,0.52
3dpf,1.17,0.63,0,0
5dpf,0,2.51,0,0
10dpf,0.57,0,0,0
