stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,44.89
12hpf,0,1.81,1.76,0,0,0,0,0,19.77
14hpf,3.26,0,0,0,0,0,0,0,281.64
16hpf,29.52,1.65,0,0,0,0,0,0,44.68
19hpf,28.87,0,0,0,0,0,0,0,247.09
24hpf,4.86,0,0,0,0,0,0,0.83,20.54
2dpf,46.49,2.06,0,1.27,0,7.91,0,0.74,368.59
3dpf,28.47,2.22,0.5,1.14,1.68,9.75,0,0.89,222.89
5dpf,54.95,4.08,1.09,2.9,0,10.97,0.78,5.31,402.02
10dpf,9.23,2.1,1.52,0,0,1.75,0,0,54.65
