stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
3dpf,0.33,1.98,0,0,0.32,0.52,0
5dpf,0.97,2.17,0,1.03,0,0,0.91
10dpf,0,1.41,0.86,0,0,0.82,0
