stage,central_nervous_system,intermediate_mesoderm,paraxial_mesoderm,periderm
14hpf,0,0,0,2.33
19hpf,1.91,0,0,0
24hpf,107.05,0,3.71,0
5dpf,0.76,1.12,0,0.54
10dpf,1.4,3.31,0,0.53
