stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,10.43,0,0,0,0,0,0,0
12hpf,0,70.49,0,0,0,0,0,0,0
14hpf,13.45,131.37,0,0,0,0,0,3.32,0
16hpf,70.41,206.4,0,1.89,2.79,0,0,184.11,2.29
19hpf,22.83,62.64,0,8.87,0,0,0,4.73,0
24hpf,26.6,80.32,0,25.1,1.41,3.27,0,42.57,1.1
2dpf,77.09,26.57,11.22,47.72,17.74,92.88,2.22,29.38,7.75
3dpf,110.85,27.69,0.29,18.42,1.8,266.79,2.11,8.51,3.76
5dpf,9.99,89.91,5.76,171.07,5.11,157.06,0.87,13.17,16.78
10dpf,35.25,83.17,2.21,86.94,0.44,93.33,0,7.49,0.83
