stage,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,0.73,3.28,0
3dpf,0.63,0,1.57,0
5dpf,23.15,0,2.9,0.83
10dpf,24.56,0,0.99,0
