stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
3dpf,7.99,0,0,0.67,0
5dpf,1.09,0.29,0.34,1.5,0.35
10dpf,3.31,1.08,0,0,0
