stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,246.21,0,8.62,0,464.81,0,914.58,13044.86,18.87
12hpf,20.22,0,0,1.87,0,0,52.34,3684.76,9.78
14hpf,2.31,0,2.39,11.56,0,0,43.34,3542.67,2.54
16hpf,14.82,0,1.86,0,0,0,18.62,1246.84,9.24
19hpf,0,0,0,0,0,0,36.77,1799.82,0
24hpf,0,0,0,1.62,0,0,0,114.29,0.84
2dpf,6.92,0,0,0,1.66,11.9,0,0.48,0
3dpf,21.82,0.96,0.98,0,0,56.95,0,0,0
5dpf,0.32,0,0.63,0,0,2.98,3.39,0.86,0.43
10dpf,3.3,0,0,0,0,1.63,0,0,0
