stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord
3dpf,2.02,0,0,0.3,0,0
5dpf,0,0,0,0,1.1,0.42
10dpf,1.91,0.46,0.4,0,0.49,0
