stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
2dpf,0.56,0,1.55,0.56,1.08
5dpf,0,1.88,0,0,0
10dpf,0,0.48,0,0,0
