stage,central_nervous_system,endoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,4.77,0,0.63,1.58,0,1.12
3dpf,18.24,0,0.31,0,0.3,0
5dpf,0.51,0.35,0.53,0.65,0,0
10dpf,7.49,0,0.43,0,0,0
