stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,2.34,0,0,0,0.69,1.73
3dpf,3,0,0.39,0,1.32,0.32
5dpf,1.8,0,0.64,1.49,2.09,0.54
10dpf,1.43,0.9,0,0.73,1.44,0
