stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme
2dpf,0,0,1.34,0,0
3dpf,0,0.34,0.89,0,0.75
5dpf,0,0.31,12.09,0,2.49
10dpf,1.49,0.39,6.85,1.47,0
