stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,periderm
3dpf,5.1,0,0,7.13,1.23
5dpf,2.53,0.5,0.47,13.14,1.07
10dpf,4.84,0,0,9.88,1.63
