stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,11.57,0,0,0,107.85
12hpf,13.86,0,0,0,223.08,78.7,0,10.98,67.12
14hpf,16.73,0,0,72.82,175.37,241.83,0,0,25.38
16hpf,0,0,0,3.98,20.98,16.31,0,0,4.83
19hpf,0,0,0,2.06,0,0,0,0,11.72
24hpf,6.86,0,0,0,0,0,0,0,0
2dpf,44.35,0,0,2.98,115.39,7.7,0,1.52,1.59
3dpf,152.3,0.59,0,0,16.6,11.92,0,1.09,0.32
5dpf,17.56,0.71,1.39,4.04,4.91,17.02,1.45,4.37,2.86
10dpf,215.94,3.17,0.49,0.75,0.93,4.72,0.58,1.76,0
