stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,9.8,0,0,0,0,9.55,79.13,0
12hpf,0,0,0,3.74,0,9.25,28.05,0
14hpf,0,3.79,2.53,0,0,3.46,93.11,0
16hpf,0,1.74,0,0,0,0,70.94,0
19hpf,0,0,1.51,0,0,1.57,0,0
24hpf,0,0,0,0.83,0,0.82,19.9,0
2dpf,1.81,0,0,0,6.13,0,0.73,0
3dpf,4.62,0,0,0,3.9,0,0.33,0.88
5dpf,2.42,0,0,0,0,0,0,0
10dpf,2.97,0,0,0.4,0,0,0,0
