stage,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
19hpf,0,0,2.07,0,0,0
2dpf,0,0,2.17,0.53,0.83,0
5dpf,0,2.33,1.34,0,0.73,6.31
10dpf,1.07,2.11,0.42,0,0,1.73
