stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0,0,0,2.38,0.82,53.21,0,0
3dpf,1.01,0.52,1.52,1.33,0,0,0,1.02
5dpf,0.64,1.24,3.98,0.8,4.47,1.4,0.99,3.89
10dpf,3.59,1.53,40.73,1.03,2.9,0,0,0
