stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm
24hpf,0,0,0,0,0,0,0.84
2dpf,2.33,0,0,1.58,1.18,0,0
3dpf,13.95,0.65,0,1.35,4.16,0,0
5dpf,0.76,0.35,0,0.39,3.9,0.83,1.47
10dpf,5.74,0,2.27,0,3.73,0,1.22
