stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme
2dpf,1.65,0,0,0.64,0
3dpf,0,0.3,0,0,0
5dpf,0,0.48,0,0,0
10dpf,0.42,0,0.72,0,0.96
