stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,8.55,0
12hpf,1.78,0,0,1.84,0,0,0,6.68,0
14hpf,0,0,0,2.82,0,2.91,0,24.95,9.86
16hpf,0,0,0,1.68,0,0,0,34.08,6.1
19hpf,0,0,0,18.02,0,0,5.25,3.2,17.09
24hpf,0.86,0,0,19.18,2.94,1.14,6.93,21.34,6.54
2dpf,22.85,0,2.77,72.08,4.32,27.24,31.01,9.22,9.62
3dpf,213.77,2.51,1.04,29.81,4.9,51.5,5.97,7.59,3.5
5dpf,32.18,2.75,3.89,93.64,8.94,125.09,29.43,8.57,21.46
10dpf,411.54,4.1,3.1,73.27,8.66,94.58,83.68,11.06,5.26
