stage,central_nervous_system,hematopoietic_system,mesenchyme,paraxial_mesoderm
2dpf,1.33,0,1,0.48
3dpf,8.89,0,0.46,0
5dpf,0,0.37,0.46,0
10dpf,0.82,0.99,0,0
