stage,central_nervous_system,lateral_mesoderm,neural_crest,paraxial_mesoderm
2dpf,0,0,0,0.58
3dpf,3.19,0,0,0
5dpf,0,0.48,0,0
10dpf,0.38,0,0.4,0
