stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,36.64,0,0,0,0,0,0,0,12.95
12hpf,106.06,11.2,0,0,17.68,3.91,0,26.09,32.42
14hpf,9.53,0,0,2.42,0,0,0,0,0
16hpf,17.12,1.85,1.76,3.38,4.14,0,0,10.21,3.74
19hpf,13.52,0,0,1.9,0,0,0,1.73,0
24hpf,12.6,0,0.87,0,0.94,0,0,2.19,0
2dpf,119.52,2.85,6.47,4.84,24.54,45.91,7.59,12.38,10.93
3dpf,152.4,0.41,1.33,4.07,1.57,27.97,1.28,0.83,1.16
5dpf,24.86,0,4.64,5.37,2.02,33.06,3.4,4.44,14.89
10dpf,53.35,4.45,4.68,2.34,3.43,29.54,2,7.58,2.78
