stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,19.64,0,0,0,0,0,0,0,0
12hpf,18.55,0,0,0,0,0,0,0,0
14hpf,50.79,0,5.96,12.54,0,3.74,0,0,2.76
16hpf,66.03,0,2.6,35.73,3.66,0,3.55,0,3.64
19hpf,82.74,0,0,25.82,5.09,0,0,0,1.61
24hpf,26.53,0,0,0,0.95,1.05,0,0.91,0
2dpf,257.66,2.86,0,18.4,12.78,16.44,0,8.82,4.95
3dpf,102.88,0.39,0,7.77,0.98,7.83,0,2.55,0.7
5dpf,120.44,1.37,0,5.72,0.5,13.03,0,0,3.1
10dpf,27.26,0,0.52,14.06,0,4.17,0,1.5,1.07
