stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,0.48,0,0,0,0,0.54
3dpf,1.36,0,0,0,0.82,0.29
5dpf,3.43,0,0.77,0,0.43,17.77
10dpf,2.12,1.34,1.53,1.78,1.52,26.22
