stage,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,0,0,2.31,0.85,8.06
3dpf,0,0.33,0,0.65,8.8
5dpf,0,1.7,0,2.4,27.61
10dpf,0.91,3.63,0,0,5.26
